target,GC,Age,Length,height,weight,One day races,GC_specialty,Time trial,Sprint,Climber,PCS Ranking,UCI World Ranking,Specials | All Time Ranking,sumres_1,sumres_2,sumres_3,Stage_Type_RR
0,45.0,26.0,118.5,1.85,72.0,71.0,8.0,219.0,200.0,10.0,1.497e+03,937.0,985.0,180.0,115.0,14.0,1.0
0,6.0,36.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,234.0,61.0,1.135e+03,1.0
0,46.0,24.0,118.5,1.89,70.0,1.669e+03,580.0,741.0,2.548e+03,421.0,27.0,41.0,756.0,26.0,15.0,111.94,1.0
0,47.0,20.0,118.5,1.84,71.0,485.0,2.11e+03,330.0,124.0,2.376e+03,193.0,348.0,985.0,0.0,107.7,111.94,1.0
0,48.0,24.0,118.5,1.79,71.0,2.256e+03,340.0,343.0,4.056e+03,290.0,28.0,29.0,643.0,248.0,41.0,7.0,1.0
0,49.0,28.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,358.0,115.0,49.0,1.0
0,50.0,25.0,118.5,1.85,65.0,351.0,384.0,39.0,145.0,353.0,386.0,463.0,985.0,251.0,214.0,325.0,1.0
0,51.0,27.0,118.5,1.64,55.0,288.0,558.0,984.0,250.0,100.0,1.018e+03,2.017e+03,985.0,524.0,337.0,95.0,1.0
0,52.0,34.0,118.5,1.65,53.0,384.0,643.0,1.536e+03,958.0,471.0,159.0,334.0,1.634e+03,77.0,242.0,236.0,1.0
0,53.0,32.0,118.5,1.81,70.0,403.0,779.0,18.0,60.0,648.0,397.0,609.0,985.0,169.0,166.0,174.0,1.0
0,54.0,32.0,118.5,1.7,64.0,28.0,175.0,0.0,12.0,110.0,757.0,1.458e+03,985.0,5.0,5.0,77.0,1.0
0,55.0,22.0,118.5,1.82,75.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,15.0,107.7,111.94,1.0
0,56.0,24.0,118.5,1.8,65.0,1.241e+03,4.62e+03,2.726e+03,292.0,3.666e+03,48.0,56.0,386.0,0.0,107.7,111.94,1.0
0,57.0,34.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,42.0,16.0,51.0,1.0
0,58.0,24.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,10.0,5.0,111.94,1.0
0,59.0,33.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,0.0,15.0,1.0
0,60.0,33.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,123.0,51.0,112.0,1.0
0,61.0,27.0,118.5,1.88,80.0,245.0,656.0,1.076e+03,254.0,422.0,718.0,461.0,985.0,73.0,15.0,10.0,1.0
0,62.0,26.0,118.5,1.82,72.0,6.0,0.0,22.0,0.0,0.0,1.928e+03,1.967e+03,985.0,55.0,82.0,83.0,1.0
0,7.0,27.0,118.5,1.85,70.0,37.0,244.0,17.0,8.0,156.0,312.0,512.0,985.0,6.0,126.0,111.94,1.0
0,63.0,29.0,118.5,1.7,61.0,79.0,21.0,1.0,103.0,0.0,1.132e+03,1.382e+03,985.0,133.0,354.0,20.0,1.0
0,64.0,25.0,118.5,1.69,52.0,5.55e+03,759.0,1.512e+03,5.27e+03,2.992e+03,29.0,44.0,142.0,114.0,27.0,10.0,1.0
0,65.0,22.0,118.5,1.78,65.0,157.0,217.0,8.0,161.0,204.0,952.0,1.157e+03,985.0,102.25,107.7,111.94,1.0
0,66.0,24.0,118.5,1.73,58.0,92.0,1.135e+03,92.0,70.0,1.886e+03,70.0,117.0,1.774e+03,107.0,125.0,23.0,1.0
0,67.0,31.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,10.0,9.0,0.0,1.0
0,68.0,34.0,118.5,1.79,69.0,901.0,526.0,91.0,322.0,619.0,447.0,557.0,985.0,48.0,26.0,42.0,1.0
0,69.0,30.0,118.5,1.77,67.0,355.0,147.0,257.0,714.0,31.0,871.0,713.0,985.0,149.0,307.0,146.0,1.0
0,70.0,30.0,118.5,1.92,83.0,95.0,42.0,165.0,131.0,13.0,701.0,901.0,985.0,95.0,50.0,20.0,1.0
0,71.0,27.0,118.5,1.95,79.0,439.0,1.401e+03,74.0,662.0,1.096e+03,665.0,1.314e+03,985.0,78.0,107.7,0.0,1.0
0,72.0,19.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
0,73.0,23.0,118.5,1.71,57.0,388.0,1.551e+03,196.0,113.0,1.18e+03,230.0,275.0,985.0,21.0,10.0,20.0,1.0
0,74.0,29.0,118.5,1.8,61.0,117.0,863.0,1.749e+03,190.0,214.0,754.0,840.0,985.0,29.0,15.0,25.0,1.0
0,75.0,22.0,118.5,1.77,61.0,4.39e+03,755.0,264.0,2.548e+03,667.0,141.0,99.0,611.0,102.25,107.7,111.94,1.0
0,76.0,34.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,5.0,88.0,30.0,1.0
0,77.0,23.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,0.0,107.7,111.94,1.0
0,78.0,30.0,118.5,1.75,64.0,1.749e+03,5.8e+03,1.338e+03,356.0,6.616e+03,278.0,229.0,179.0,97.0,12.0,14.0,1.0
0,79.0,25.0,118.5,1.79,70.0,1.529e+03,523.0,353.0,1.718e+03,92.0,1.02e+03,861.0,985.0,0.0,107.7,111.94,1.0
0,80.0,22.0,118.5,1.8,64.0,714.0,547.0,459.0,680.0,18.0,520.0,2.128e+03,1.78e+03,6.0,107.7,111.94,1.0
0,81.0,30.0,118.5,1.81,64.0,228.0,2.728e+03,500.0,78.0,2.806e+03,21.0,25.0,932.0,19.0,107.7,111.94,1.0
0,82.0,29.0,118.5,1.76,66.0,1.008e+03,129.0,112.0,1.235e+03,371.0,103.0,124.0,1.471e+03,50.0,91.0,34.0,1.0
0,83.0,29.0,118.5,1.79,67.0,67.0,453.0,111.0,266.0,81.0,520.0,861.0,985.0,48.0,96.0,98.0,1.0
0,84.0,27.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,154.0,258.0,444.0,1.0
0,85.0,39.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,10.0,146.0,5.0,1.0
0,86.0,32.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,10.0,5.0,20.0,1.0
0,87.0,32.0,118.5,1.74,67.0,29.0,35.0,0.0,28.0,6.0,520.0,3.016e+03,985.0,47.0,79.0,75.0,1.0
0,88.0,27.0,118.5,1.75,64.0,155.0,130.0,1.072e+03,27.0,0.0,608.0,424.0,985.0,79.0,56.0,175.0,1.0
0,89.0,22.0,118.5,1.78,73.0,3.0,42.0,0.0,95.0,2.0,2.058e+03,2.714e+03,985.0,41.0,107.7,111.94,1.0
0,90.0,26.0,118.5,1.69,61.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,30.0,24.0,111.94,1.0
0,91.0,20.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
0,92.0,20.0,118.5,1.75,60.0,8.0,33.0,4.0,10.0,21.0,1.248e+03,1.383e+03,985.0,102.25,107.7,111.94,1.0
0,93.0,29.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,25.0,15.0,0.0,1.0
0,94.0,34.0,118.5,1.75,63.0,341.0,642.0,70.0,380.0,230.0,467.0,561.0,985.0,202.0,90.0,130.0,1.0
0,95.0,36.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,51.0,73.0,63.0,1.0
0,96.0,29.0,118.5,1.9,73.0,514.0,152.0,0.0,408.0,136.0,1.888e+03,3.18e+03,985.0,45.0,10.0,30.0,1.0
0,97.0,30.0,118.5,1.71,64.0,24.0,145.0,380.0,35.0,53.0,1.164e+03,1.615e+03,985.0,109.0,303.0,241.0,1.0
0,98.0,26.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
0,99.0,23.0,118.5,1.86,68.0,105.0,2.152e+03,830.0,72.0,2.08e+03,122.0,125.0,1.635e+03,0.0,13.0,111.94,1.0
0,100.0,30.0,118.5,1.83,65.0,1.571e+03,488.0,498.0,479.0,623.0,197.0,243.0,1.498e+03,15.0,5.0,13.0,1.0
0,101.0,19.0,118.5,1.77,63.0,561.0,1.279e+03,142.0,89.0,1.2e+03,76.0,46.0,1.546e+03,102.25,107.7,111.94,1.0
0,102.0,25.0,118.5,1.75,63.0,1.139e+03,857.0,443.0,2.296e+03,352.0,306.0,377.0,1.482e+03,0.0,0.0,111.94,1.0
0,103.0,20.0,118.5,1.84,77.0,17.0,198.0,96.0,39.0,72.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
0,104.0,22.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,20.0,107.7,111.94,1.0
0,105.0,31.0,118.5,1.89,72.0,85.0,67.0,231.0,645.0,42.0,514.0,1.178e+03,985.0,10.0,15.0,0.0,1.0
0,106.0,29.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,20.0,0.0,5.0,1.0
0,107.0,26.0,118.5,1.83,70.0,1.192e+03,200.0,60.0,2.544e+03,24.0,484.0,636.0,1.906e+03,74.0,18.0,118.0,1.0
0,108.0,35.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,5.0,15.0,123.0,1.0
0,109.0,21.0,118.5,1.79,70.0,82.0,183.0,80.0,313.0,32.0,843.0,650.0,985.0,5.0,107.7,111.94,1.0
0,110.0,31.0,118.5,1.75,65.0,326.0,417.0,48.0,1.074e+03,90.0,749.0,912.0,985.0,15.0,25.0,11.0,1.0
0,111.0,23.0,118.5,1.78,60.0,1.393e+03,1.49e+03,148.0,806.0,2.352e+03,173.0,204.0,1.554e+03,10.0,107.7,111.94,1.0
0,112.0,31.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,0.0,0.0,1.0
0,113.0,25.0,118.5,1.8,62.0,455.0,301.0,4.0,255.0,90.0,353.0,436.0,985.0,102.25,107.7,0.0,1.0
0,114.0,29.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,15.0,10.0,10.0,1.0
0,115.0,25.0,118.5,1.82,70.0,180.0,525.0,1.158e+03,564.0,104.0,272.0,335.0,985.0,15.0,107.7,111.94,1.0
0,116.0,39.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,30.0,5.0,15.0,1.0
0,117.0,30.0,118.5,1.79,73.0,624.0,703.0,741.0,434.0,196.0,593.0,828.0,985.0,264.0,23.0,50.0,1.0
0,118.0,27.0,118.5,1.88,85.0,305.0,238.0,20.0,199.0,10.0,695.0,707.0,985.0,102.25,107.7,111.94,1.0
0,119.0,33.0,118.5,1.77,65.0,1.787e+03,503.0,19.0,5.96e+03,278.0,780.0,1.499e+03,395.0,136.0,44.0,63.0,1.0
0,120.0,21.0,118.5,1.88,67.0,801.0,468.0,44.0,604.0,142.0,785.0,1.003e+03,985.0,102.25,107.7,111.94,1.0
0,121.0,24.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,5.0,0.0,12.0,1.0
0,122.0,22.0,118.5,1.84,71.0,9.14e+03,1.681e+03,1.301e+03,1.414e+04,4.356e+03,35.0,55.0,17.0,5.0,107.7,111.94,1.0
0,123.0,28.0,118.5,1.7,69.0,1.217e+03,660.0,417.0,1.477e+03,400.0,516.0,1.629e+03,1.514e+03,0.0,0.0,111.94,1.0
0,124.0,32.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,15.0,52.0,333.0,1.0
0,125.0,29.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,31.0,5.0,25.0,1.0
0,126.0,29.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,273.0,24.0,0.0,1.0
0,127.0,22.0,118.5,1.86,73.0,1.245e+03,661.0,198.0,725.0,840.0,156.0,145.0,1.818e+03,102.25,107.7,111.94,1.0
0,128.0,27.0,118.5,1.8,69.0,5.88e+03,1.103e+03,292.0,8.536e+03,1.188e+03,134.0,107.0,113.0,43.0,103.0,111.94,1.0
0,129.0,25.0,118.5,1.87,78.0,136.0,151.0,31.0,46.0,94.0,399.0,397.0,985.0,94.0,89.0,21.0,1.0
0,130.0,24.0,118.5,1.88,68.0,2.516e+03,1.143e+03,445.0,644.0,1.296e+03,86.0,59.0,734.0,0.0,13.0,3.0,1.0
0,131.0,32.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,39.0,22.0,47.0,1.0
0,132.0,28.0,118.5,1.9,78.0,57.0,52.0,94.0,44.0,13.0,939.0,678.0,985.0,58.0,70.0,60.0,1.0
1,1.0,31.0,148.5,1.72,62.0,377.0,54.0,30.0,430.0,232.0,199.0,230.0,985.0,238.0,350.0,129.0,1.0
1,2.0,29.0,148.5,1.76,66.0,1.008e+03,129.0,112.0,1.235e+03,371.0,103.0,124.0,1.471e+03,50.0,91.0,34.0,1.0
1,3.0,27.0,148.5,1.64,55.0,288.0,558.0,984.0,250.0,100.0,1.018e+03,2.017e+03,985.0,524.0,337.0,95.0,1.0
